date,n1,n2,n3,n4,n5,s1,s2
2025-06-03,12,15,38,47,48,5,7
2025-06-06,20,21,29,30,35,2,12
2025-06-10,19,36,39,40,45,5,6
2025-06-13,2,28,40,43,45,3,7
2025-06-17,13,22,23,44,49,3,5
2025-06-20,5,8,24,37,47,3,9
2025-06-24,7,16,21,23,39,7,11
2025-06-27,19,27,36,45,49,7,10
2025-07-01,1,17,28,32,34,7,8
2025-07-04,19,29,42,45,48,5,7
2025-07-08,1,8,9,18,50,1,5
2025-07-11,8,23,24,45,49,2,10
2025-07-15,24,38,41,45,49,1,6
2025-07-18,13,19,25,42,45,2,9
2025-07-22,8,15,26,33,41,9,10
2025-07-25,6,7,23,32,36,11,12
2025-07-29,5,6,42,44,46,4,8
2025-08-01,4,16,25,29,30,2,10
2025-08-05,1,3,5,42,47,5,10
2025-08-08,2,12,19,34,44,6,10
2025-08-12,18,28,42,46,48,3,9
2025-08-15,13,30,35,36,40,2,6
2025-08-19,24,31,34,41,43,6,8
2025-08-22,6,9,12,30,39,4,10
2025-08-26,2,14,38,42,45,10,11
2025-08-29,6,9,10,13,37,1,7
2025-09-02,13,30,31,32,36,1,12
2025-09-05,27,30,31,41,43,5,8
2025-09-09,3,13,24,39,40,2,8
2025-09-12,5,10,23,31,37,3,11
2025-09-16,1,9,13,35,40,5,6
2025-09-19,8,10,26,32,42,9,12
2025-09-23,11,13,24,29,33,2,5
2025-09-26,4,17,25,28,44,5,11
2025-09-30,3,8,15,17,48,2,8
2025-10-03,6,12,18,25,41,2,6
2025-10-07,24,39,42,43,48,5,8
2025-10-10,6,7,17,20,21,1,10
2025-10-14,5,8,14,16,18,3,10
2025-10-17,13,35,39,44,47,3,5
2025-10-21,5,24,29,40,42,6,12
2025-10-24,7,8,25,31,45,7,12
2025-10-28,7,8,24,35,49,2,12
2025-10-31,5,14,38,43,45,7,11
2025-11-04,6,9,25,28,45,1,4
2025-11-07,11,21,39,40,43,2,8
2025-11-11,4,22,32,36,47,2,10
2025-11-14,9,26,27,45,48,8,9
2025-11-18,2,4,15,21,48,6,12
2025-11-21,17,19,29,35,48,5,9
2025-11-25,6,11,17,35,44,3,7
2025-11-28,5,29,33,39,42,3,9
2025-12-02,4,13,14,20,41,6,12
2025-12-05,9,15,25,34,46,8,12
2025-12-09,2,8,13,29,49,2,11
2025-12-12,7,25,30,37,41,5,11
2025-12-16,14,16,40,41,44,2,10
2025-12-19,17,21,39,43,44,1,11
2025-12-23,8,26,27,29,44,11,12
2025-12-26,12,22,32,36,48,3,4
2025-12-30,11,26,29,34,44,1,10
2026-01-02,8,27,42,44,46,1,10
2026-01-06,5,14,17,18,31,10,12
2026-01-09,1,7,10,26,34,2,4
2026-01-13,6,10,18,44,47,2,10
2026-01-16,5,17,24,29,50,5,10
2026-01-20,11,18,19,22,50,1,11
2026-01-23,4,5,13,21,42,3,10
2026-01-27,4,23,42,43,47,3,9
2026-01-30,14,18,31,35,46,7,11
2026-02-03,26,27,28,34,37,4,9
2026-02-06,10,13,20,23,24,6,11
2026-02-10,1,17,19,34,42,5,8
2026-02-13,9,13,31,37,40,6,9
2026-02-17,1,4,6,10,41,5,12
2026-02-20,13,24,28,33,35,5,9
2026-02-24,10,27,40,43,47,6,10
2026-02-27,14,24,27,39,42,6,10
2026-03-03,6,7,24,34,50,5,7
2026-03-06,15,16,19,28,37,6,9
2026-03-10,12,14,27,44,50,4,12
2026-03-13,13,17,26,41,48,4,10
2026-03-17,5,17,28,33,41,3,9
2026-03-20,5,12,16,37,46,8,10
2026-03-24,12,16,17,18,27,1,3
2026-03-27,4,10,43,44,48,2,4
2026-03-31,5,8,10,33,38,2,7
2026-04-03,8,27,29,46,49,2,10
2026-04-07,11,14,19,36,49,6,7
2026-04-10,10,13,14,38,41,6,9
2026-04-14,1,2,4,28,44,5,12
2026-04-17,22,23,28,41,47,6,8
2026-04-21,13,16,29,40,47,3,4
2026-04-24,25,26,30,40,45,1,5
2026-04-28,26,29,41,46,47,8,9
2026-05-01,3,9,42,46,47,1,11
2026-05-05,3,4,8,20,31,6,8
2026-05-08,2,17,19,34,37,8,11
2026-05-12,4,26,32,35,36,5,7
2026-05-15,3,10,38,41,43,2,9
2026-05-19,2,12,20,38,45,2,5
2026-05-22,6,22,26,31,37,5,8
2026-05-26,6,23,25,35,37,6,12
2026-05-29,5,14,18,31,35,2,12
2026-06-02,6,9,17,18,42,7,9
2026-06-05,5,6,16,17,49,2,12
2026-06-09,2,7,23,44,46,3,5
2026-06-12,4,7,14,22,23,1,7
2026-06-16,18,25,31,37,45,4,9
2026-06-19,8,34,39,41,42,2,7
2026-06-23,3,33,36,45,46,5,6
2026-06-26,6,16,26,34,35,11,12
2026-06-30,1,8,37,44,48,2,6
2026-07-03,2,12,17,25,39,1,2
2026-07-07,5,29,33,45,47,5,8
2026-07-10,2,14,28,33,48,8,10
2026-07-14,10,19,37,42,47,9,12
2026-07-17,12,21,23,34,40,9,10
2026-07-21,2,3,8,28,39,2,11
2026-07-24,8,10,30,36,47,1,4
2026-07-28,5,7,24,30,49,10,11
2026-07-31,10,24,25,31,45,4,5
2026-08-04,25,30,34,46,50,1,12
2026-08-07,26,29,35,38,47,1,2
2026-08-11,3,11,17,46,48,1,2
2026-08-14,5,29,39,48,49,4,8
2026-08-18,3,9,38,40,50,6,10
2026-08-21,10,14,15,19,45,4,12
2026-08-25,8,16,30,47,48,4,9
2026-08-28,7,14,28,42,45,6,9
2026-09-01,2,10,23,37,47,3,5
2026-09-04,11,12,19,27,46,4,12
